Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2017-07-10 00:00:00,2511.43,2530.34,2271.79,2344.02,2530.34,0,-7.363437325,2271.79,0,3.179431197,2237.13,4.777996808,1974.03,18.74287625
2017-07-11 00:00:00,2344.02,2412.75,2265.48,2324.29,2530.34,1,-8.143174435,2265.48,0,2.595917863,2237.13,3.89606326,1808.99,28.48550849
2017-07-12 00:00:00,2324.29,2424.82,2262.08,2403.09,2530.34,2,-5.028968439,2262.08,0,6.233643372,2237.13,7.418433439,1808.99,32.84153036
2017-07-13 00:00:00,2403.09,2436.66,2334.96,2362.44,2530.34,3,-6.635471913,2262.08,1,4.436624699,2400.74,-1.595341436,1808.99,30.59442009
2017-07-14 00:00:00,2362.44,2370.53,2165.36,2234.17,2530.34,4,-11.70475114,2165.36,0,3.177762589,2412.38,-7.387310457,1808.99,23.50372307
2017-07-15 00:00:00,2234.17,2237.13,1974.03,1975.08,2530.34,5,-21.94408657,1974.03,0,0.05319068099,2932.81,-32.65571244,1808.99,9.181366398
2017-07-16 00:00:00,1975.08,2044.41,1808.99,1914.09,2530.34,6,-24.35443458,1808.99,0,5.809871807,2932.81,-34.735288,1913.79,0.0156757011
2017-07-17 00:00:00,1914.09,2233.83,1913.79,2233.39,2436.66,4,-8.342156887,1808.99,1,23.46060509,2932.81,-23.84811836,2164.59,3.178431019
2017-07-18 00:00:00,2233.39,2400.74,2164.59,2320.23,2436.66,5,-4.778262047,1808.99,2,28.26107386,2932.81,-20.88713555,2243.13,3.437161466
2017-07-19 00:00:00,2320.23,2412.38,2243.13,2282.58,2436.66,6,-6.323409914,1808.99,3,26.17980199,2932.81,-22.17088731,2282.11,0.0205949757
